Wilayah Jawa Barat,Bulan_Tahun,Tahun,Kelompok Pengeluaran IHK,IHK Value
Kota Bogor,December-2020,2020,Umum,107.12
Kota Bogor,December-2020,2020,"Makanan, Minuman & Tembakau",107.74
Kota Bogor,December-2020,2020,Pakaian & Alas Kaki,102.85
Kota Bogor,December-2020,2020,"Perumahan, Air, Listrik & Bahan Bakar Rumah Tangga",101.81
Kota Bogor,December-2020,2020,"Perlengkapan, Peralatan & Pemeliharaan Rutin Rumah Tangga",113.9
Kota Bogor,December-2020,2020,Kesehatan,105.52
Kota Bogor,December-2020,2020,Transportasi,104.81
Kota Bogor,December-2020,2020,"Informasi, Komunikasi & Jasa Keuangan",100.4
Kota Bogor,December-2020,2020,"Rekreasi, Olahraga & Budaya",105.33
Kota Bogor,December-2020,2020,Pendidikan,118.58
Kota Bogor,December-2020,2020,Penyediaan Makanan & Minuman - Restoran,113.2
Kota Bogor,December-2020,2020,Perawatan Pribadi & Jasa Lainnya,114.31
Kota Bogor,November-2020,2020,Umum,106.65
Kota Bogor,November-2020,2020,"Makanan, Minuman & Tembakau",105.87
Kota Bogor,November-2020,2020,Pakaian & Alas Kaki,102.98
Kota Bogor,November-2020,2020,"Perumahan, Air, Listrik & Bahan Bakar Rumah Tangga",101.81
Kota Bogor,November-2020,2020,"Perlengkapan, Peralatan & Pemeliharaan Rutin Rumah Tangga",113.81
Kota Bogor,November-2020,2020,Kesehatan,105.52
Kota Bogor,November-2020,2020,Transportasi,104.81
Kota Bogor,November-2020,2020,"Informasi, Komunikasi & Jasa Keuangan",100.4
Kota Bogor,November-2020,2020,"Rekreasi, Olahraga & Budaya",105.33
Kota Bogor,November-2020,2020,Pendidikan,118.58
Kota Bogor,November-2020,2020,Penyediaan Makanan & Minuman - Restoran,112.98
Kota Bogor,November-2020,2020,Perawatan Pribadi & Jasa Lainnya,114.5
Kota Bogor,October-2020,2020,Umum,106.31
Kota Bogor,October-2020,2020,"Makanan, Minuman & Tembakau",104.82
Kota Bogor,October-2020,2020,Pakaian & Alas Kaki,102.73
Kota Bogor,October-2020,2020,"Perumahan, Air, Listrik & Bahan Bakar Rumah Tangga",101.85
Kota Bogor,October-2020,2020,"Perlengkapan, Peralatan & Pemeliharaan Rutin Rumah Tangga",113.65
Kota Bogor,October-2020,2020,Kesehatan,105.36
Kota Bogor,October-2020,2020,Transportasi,104.7
Kota Bogor,October-2020,2020,"Informasi, Komunikasi & Jasa Keuangan",100.34
Kota Bogor,October-2020,2020,"Rekreasi, Olahraga & Budaya",105.33
Kota Bogor,October-2020,2020,Pendidikan,118.57
Kota Bogor,October-2020,2020,Penyediaan Makanan & Minuman - Restoran,112.55
Kota Bogor,October-2020,2020,Perawatan Pribadi & Jasa Lainnya,114.44
Kota Bogor,September-2020,2020,Umum,106.17
Kota Bogor,September-2020,2020,"Makanan, Minuman & Tembakau",104.33
Kota Bogor,September-2020,2020,Pakaian & Alas Kaki,102.49
Kota Bogor,September-2020,2020,"Perumahan, Air, Listrik & Bahan Bakar Rumah Tangga",101.9
Kota Bogor,September-2020,2020,"Perlengkapan, Peralatan & Pemeliharaan Rutin Rumah Tangga",113.68
Kota Bogor,September-2020,2020,Kesehatan,105.23
Kota Bogor,September-2020,2020,Transportasi,104.7
Kota Bogor,September-2020,2020,"Informasi, Komunikasi & Jasa Keuangan",100.34
Kota Bogor,September-2020,2020,"Rekreasi, Olahraga & Budaya",105.12
Kota Bogor,September-2020,2020,Pendidikan,118.57
Kota Bogor,September-2020,2020,Penyediaan Makanan & Minuman - Restoran,112.4
Kota Bogor,September-2020,2020,Perawatan Pribadi & Jasa Lainnya,114.44
Kota Bogor,August-2020,2020,Umum,106.05
Kota Bogor,August-2020,2020,"Makanan, Minuman & Tembakau",104.9
Kota Bogor,August-2020,2020,Pakaian & Alas Kaki,102.4
Kota Bogor,August-2020,2020,"Perumahan, Air, Listrik & Bahan Bakar Rumah Tangga",101.91
Kota Bogor,August-2020,2020,"Perlengkapan, Peralatan & Pemeliharaan Rutin Rumah Tangga",113.57
Kota Bogor,August-2020,2020,Kesehatan,105.16
Kota Bogor,August-2020,2020,Transportasi,104.63
Kota Bogor,August-2020,2020,"Informasi, Komunikasi & Jasa Keuangan",100.32
Kota Bogor,August-2020,2020,"Rekreasi, Olahraga & Budaya",104.82
Kota Bogor,August-2020,2020,Pendidikan,117.31
Kota Bogor,August-2020,2020,Penyediaan Makanan & Minuman - Restoran,111.07
Kota Bogor,August-2020,2020,Perawatan Pribadi & Jasa Lainnya,113.78
Kota Bogor,July-2020,2020,Umum,106.22
Kota Bogor,July-2020,2020,"Makanan, Minuman & Tembakau",106.01
Kota Bogor,July-2020,2020,Pakaian & Alas Kaki,102.43
Kota Bogor,July-2020,2020,"Perumahan, Air, Listrik & Bahan Bakar Rumah Tangga",101.91
Kota Bogor,July-2020,2020,"Perlengkapan, Peralatan & Pemeliharaan Rutin Rumah Tangga",113.29
Kota Bogor,July-2020,2020,Kesehatan,105.16
Kota Bogor,July-2020,2020,Transportasi,104.63
Kota Bogor,July-2020,2020,"Informasi, Komunikasi & Jasa Keuangan",100.42
Kota Bogor,July-2020,2020,"Rekreasi, Olahraga & Budaya",104.72
Kota Bogor,July-2020,2020,Pendidikan,117.31
Kota Bogor,July-2020,2020,Penyediaan Makanan & Minuman - Restoran,111.07
Kota Bogor,July-2020,2020,Perawatan Pribadi & Jasa Lainnya,111.59
Kota Bogor,June-2020,2020,Umum,106.23
Kota Bogor,June-2020,2020,"Makanan, Minuman & Tembakau",107.19
Kota Bogor,June-2020,2020,Pakaian & Alas Kaki,102.18
Kota Bogor,June-2020,2020,"Perumahan, Air, Listrik & Bahan Bakar Rumah Tangga",101.91
Kota Bogor,June-2020,2020,"Perlengkapan, Peralatan & Pemeliharaan Rutin Rumah Tangga",113.54
Kota Bogor,June-2020,2020,Kesehatan,105.13
Kota Bogor,June-2020,2020,Transportasi,104.61
Kota Bogor,June-2020,2020,"Informasi, Komunikasi & Jasa Keuangan",100.42
Kota Bogor,June-2020,2020,"Rekreasi, Olahraga & Budaya",102.67
Kota Bogor,June-2020,2020,Pendidikan,114.34
Kota Bogor,June-2020,2020,Penyediaan Makanan & Minuman - Restoran,111.07
Kota Bogor,June-2020,2020,Perawatan Pribadi & Jasa Lainnya,110.62
Kota Bogor,May-2020,2020,Umum,105.94
Kota Bogor,May-2020,2020,"Makanan, Minuman & Tembakau",106.06
Kota Bogor,May-2020,2020,Pakaian & Alas Kaki,102.11
Kota Bogor,May-2020,2020,"Perumahan, Air, Listrik & Bahan Bakar Rumah Tangga",101.91
Kota Bogor,May-2020,2020,"Perlengkapan, Peralatan & Pemeliharaan Rutin Rumah Tangga",113.51
Kota Bogor,May-2020,2020,Kesehatan,105.11
Kota Bogor,May-2020,2020,Transportasi,104.53
Kota Bogor,May-2020,2020,"Informasi, Komunikasi & Jasa Keuangan",100.14
Kota Bogor,May-2020,2020,"Rekreasi, Olahraga & Budaya",102.67
Kota Bogor,May-2020,2020,Pendidikan,114.34
Kota Bogor,May-2020,2020,Penyediaan Makanan & Minuman - Restoran,111.07
Kota Bogor,May-2020,2020,Perawatan Pribadi & Jasa Lainnya,110.99
Kota Bogor,April-2020,2020,Umum,105.93
Kota Bogor,April-2020,2020,"Makanan, Minuman & Tembakau",106.22
Kota Bogor,April-2020,2020,Pakaian & Alas Kaki,102.07
Kota Bogor,April-2020,2020,"Perumahan, Air, Listrik & Bahan Bakar Rumah Tangga",101.91
Kota Bogor,April-2020,2020,"Perlengkapan, Peralatan & Pemeliharaan Rutin Rumah Tangga",113.4
Kota Bogor,April-2020,2020,Kesehatan,105.0
Kota Bogor,April-2020,2020,Transportasi,104.53
Kota Bogor,April-2020,2020,"Informasi, Komunikasi & Jasa Keuangan",100.14
Kota Bogor,April-2020,2020,"Rekreasi, Olahraga & Budaya",102.67
Kota Bogor,April-2020,2020,Pendidikan,114.34
Kota Bogor,April-2020,2020,Penyediaan Makanan & Minuman - Restoran,111.07
Kota Bogor,April-2020,2020,Perawatan Pribadi & Jasa Lainnya,110.21
Kota Bogor,March-2020,2020,Umum,105.95
Kota Bogor,March-2020,2020,"Makanan, Minuman & Tembakau",106.59
Kota Bogor,March-2020,2020,Pakaian & Alas Kaki,102.06
Kota Bogor,March-2020,2020,"Perumahan, Air, Listrik & Bahan Bakar Rumah Tangga",101.91
Kota Bogor,March-2020,2020,"Perlengkapan, Peralatan & Pemeliharaan Rutin Rumah Tangga",113.19
Kota Bogor,March-2020,2020,Kesehatan,104.57
Kota Bogor,March-2020,2020,Transportasi,104.5
Kota Bogor,March-2020,2020,"Informasi, Komunikasi & Jasa Keuangan",100.14
Kota Bogor,March-2020,2020,"Rekreasi, Olahraga & Budaya",102.6
Kota Bogor,March-2020,2020,Pendidikan,114.34
Kota Bogor,March-2020,2020,Penyediaan Makanan & Minuman - Restoran,111.07
Kota Bogor,March-2020,2020,Perawatan Pribadi & Jasa Lainnya,109.13
Kota Bogor,February-2020,2020,Umum,105.91
Kota Bogor,February-2020,2020,"Makanan, Minuman & Tembakau",107.42
Kota Bogor,February-2020,2020,Pakaian & Alas Kaki,101.82
Kota Bogor,February-2020,2020,"Perumahan, Air, Listrik & Bahan Bakar Rumah Tangga",101.89
Kota Bogor,February-2020,2020,"Perlengkapan, Peralatan & Pemeliharaan Rutin Rumah Tangga",113.01
Kota Bogor,February-2020,2020,Kesehatan,104.42
Kota Bogor,February-2020,2020,Transportasi,103.42
Kota Bogor,February-2020,2020,"Informasi, Komunikasi & Jasa Keuangan",100.31
Kota Bogor,February-2020,2020,"Rekreasi, Olahraga & Budaya",102.39
Kota Bogor,February-2020,2020,Pendidikan,114.34
Kota Bogor,February-2020,2020,Penyediaan Makanan & Minuman - Restoran,111.07
