Wilayah Jawa Barat,Bulan_Tahun,Tahun,Kelompok Pengeluaran IHK,IHK Value
Provinsi Jawa Barat,December-2017,2017,Umum,128.88
Provinsi Jawa Barat,December-2017,2017,Bahan Makanan,141.73
Provinsi Jawa Barat,December-2017,2017,"Makanan Jadi, Minuman, Rokok dan Tembakau",132.36
Provinsi Jawa Barat,December-2017,2017,"Perumahan, Air, Listrik, Gas dan Bahan Bakar",122.65
Provinsi Jawa Barat,December-2017,2017,Sandang,112.95
Provinsi Jawa Barat,December-2017,2017,Kesehatan,123.04
Provinsi Jawa Barat,December-2017,2017,"Pendidikan, Rekreasi dan Olah Raga",121.83
Provinsi Jawa Barat,December-2017,2017,"Transpor, Komunikasi dan Jasa Keuangan",132.24
Provinsi Jawa Barat,November-2017,2017,Umum,128.16
Provinsi Jawa Barat,November-2017,2017,Bahan Makanan,139.33
Provinsi Jawa Barat,November-2017,2017,"Makanan Jadi, Minuman, Rokok dan Tembakau",131.84
Provinsi Jawa Barat,November-2017,2017,"Perumahan, Air, Listrik, Gas dan Bahan Bakar",122.6
Provinsi Jawa Barat,November-2017,2017,Sandang,112.79
Provinsi Jawa Barat,November-2017,2017,Kesehatan,122.88
Provinsi Jawa Barat,November-2017,2017,"Pendidikan, Rekreasi dan Olah Raga",121.54
Provinsi Jawa Barat,November-2017,2017,"Transpor, Komunikasi dan Jasa Keuangan",131.46
Provinsi Jawa Barat,October-2017,2017,Umum,127.89
Provinsi Jawa Barat,October-2017,2017,Bahan Makanan,138.98
Provinsi Jawa Barat,October-2017,2017,"Makanan Jadi, Minuman, Rokok dan Tembakau",131.26
Provinsi Jawa Barat,October-2017,2017,"Perumahan, Air, Listrik, Gas dan Bahan Bakar",122.48
Provinsi Jawa Barat,October-2017,2017,Sandang,112.68
Provinsi Jawa Barat,October-2017,2017,Kesehatan,122.64
Provinsi Jawa Barat,October-2017,2017,"Pendidikan, Rekreasi dan Olah Raga",121.1
Provinsi Jawa Barat,October-2017,2017,"Transpor, Komunikasi dan Jasa Keuangan",131.41
Provinsi Jawa Barat,September-2017,2017,Umum,127.9
Provinsi Jawa Barat,September-2017,2017,Bahan Makanan,139.52
Provinsi Jawa Barat,September-2017,2017,"Makanan Jadi, Minuman, Rokok dan Tembakau",131.03
Provinsi Jawa Barat,September-2017,2017,"Perumahan, Air, Listrik, Gas dan Bahan Bakar",122.39
Provinsi Jawa Barat,September-2017,2017,Sandang,112.51
Provinsi Jawa Barat,September-2017,2017,Kesehatan,122.24
Provinsi Jawa Barat,September-2017,2017,"Pendidikan, Rekreasi dan Olah Raga",120.9
Provinsi Jawa Barat,September-2017,2017,"Transpor, Komunikasi dan Jasa Keuangan",131.47
Provinsi Jawa Barat,August-2017,2017,Umum,127.67
Provinsi Jawa Barat,August-2017,2017,Bahan Makanan,140.4
Provinsi Jawa Barat,August-2017,2017,"Makanan Jadi, Minuman, Rokok dan Tembakau",130.32
Provinsi Jawa Barat,August-2017,2017,"Perumahan, Air, Listrik, Gas dan Bahan Bakar",122.34
Provinsi Jawa Barat,August-2017,2017,Sandang,111.78
Provinsi Jawa Barat,August-2017,2017,Kesehatan,121.97
Provinsi Jawa Barat,August-2017,2017,"Pendidikan, Rekreasi dan Olah Raga",118.59
Provinsi Jawa Barat,August-2017,2017,"Transpor, Komunikasi dan Jasa Keuangan",131.36
Provinsi Jawa Barat,July-2017,2017,Umum,127.78
Provinsi Jawa Barat,July-2017,2017,Bahan Makanan,141.9
Provinsi Jawa Barat,July-2017,2017,"Makanan Jadi, Minuman, Rokok dan Tembakau",129.98
Provinsi Jawa Barat,July-2017,2017,"Perumahan, Air, Listrik, Gas dan Bahan Bakar",122.25
Provinsi Jawa Barat,July-2017,2017,Sandang,111.34
Provinsi Jawa Barat,July-2017,2017,Kesehatan,121.58
Provinsi Jawa Barat,July-2017,2017,"Pendidikan, Rekreasi dan Olah Raga",117.38
Provinsi Jawa Barat,July-2017,2017,"Transpor, Komunikasi dan Jasa Keuangan",131.61
Provinsi Jawa Barat,June-2017,2017,Umum,127.77
Provinsi Jawa Barat,June-2017,2017,Bahan Makanan,142.32
Provinsi Jawa Barat,June-2017,2017,"Makanan Jadi, Minuman, Rokok dan Tembakau",129.06
