Wilayah Jawa Barat,Tahun,Indeks Kesehatan,Indeks Pembangunan Manusia,Indeks Pendidikan,Indeks Pengeluaran
Bogor,2017,78.0,69.13,60.66,60.66
Sukabumi,2017,77.32,65.49,56.49,56.49
Cianjur,2017,76.14,63.7,56.09,56.09
Bandung,2017,81.74,71.02,62.89,62.89
Garut,2017,78.22,64.52,56.85,56.85
Tasikmalaya,2017,74.94,64.14,58.37,58.37
Ciamis,2017,78.57,68.87,63.24,63.24
Kuningan,2017,81.35,67.78,58.0,58.0
Cirebon,2017,79.22,67.39,55.95,55.95
Majalengka,2017,75.98,65.92,56.83,56.83
Sumedang,2017,80.0,70.07,62.52,62.52
Indramayu,2017,78.25,65.58,53.82,53.82
Subang,2017,79.55,67.73,55.18,55.18
Purwakarta,2017,77.57,69.28,58.83,58.83
Karawang,2017,79.45,69.17,57.69,57.69
Bekasi,2017,82.0,72.63,64.48,64.48
Bandung Barat,2017,79.8,66.63,58.55,58.55
Pangandaran,2017,77.78,66.6,57.98,57.98
Kota Bogor,2017,81.55,75.16,71.44,71.44
Kota Sukabumi,2017,79.92,73.03,68.93,68.93
Kota Bandung,2017,82.86,80.31,73.91,73.91
Kota Cirebon,2017,79.78,74.0,69.27,69.27
Kota Bekasi,2017,84.05,80.3,73.96,73.96
Kota Depok,2017,83.14,79.83,74.66,74.66
Kota Cimahi,2017,82.48,76.95,74.66,74.66
Kota Tasikmalaya,2017,79.2,71.51,67.35,67.35
Kota Banjar,2017,77.52,70.79,65.27,65.27
Bogor,2018,78.25,69.69,60.82,60.82
Sukabumi,2018,77.68,66.05,56.56,56.56
Cianjur,2018,76.46,64.62,56.16,56.16
Bandung,2018,81.94,71.75,63.71,63.71
Garut,2018,78.51,65.42,57.78,57.78
Tasikmalaya,2018,75.32,65.0,58.43,58.43
Ciamis,2018,78.95,69.63,63.31,63.31
Kuningan,2018,81.71,68.55,58.06,58.06
Cirebon,2018,79.48,68.05,56.01,56.01
Majalengka,2018,76.43,66.72,56.89,56.89
Sumedang,2018,80.22,70.99,63.18,63.18
Indramayu,2018,78.63,66.36,53.88,53.88
Subang,2018,79.88,68.31,55.24,55.24
Purwakarta,2018,77.86,69.98,59.42,59.42
Karawang,2018,79.71,69.89,58.03,58.03
Bekasi,2018,82.2,73.49,65.72,65.72
Bandung Barat,2018,80.05,67.46,59.43,59.43
Pangandaran,2018,78.22,67.44,58.71,58.71
Kota Bogor,2018,81.86,75.66,71.5,71.5
Kota Sukabumi,2018,80.17,73.55,68.99,68.99
Kota Bandung,2018,83.08,81.06,74.82,74.82
Kota Cirebon,2018,79.98,74.35,69.33,69.33
Kota Bekasi,2018,84.25,81.04,75.19,75.19
Kota Depok,2018,83.34,80.29,74.78,74.78
Kota Cimahi,2018,82.69,77.56,74.72,74.72
Kota Tasikmalaya,2018,79.54,72.03,67.41,67.41
Kota Banjar,2018,77.83,71.25,65.33,65.33
Bogor,2019,78.48,70.65,62.27,62.27
Sukabumi,2019,78.05,66.87,57.34,57.34
Cianjur,2019,76.78,65.38,56.51,56.51
Bandung,2019,82.15,72.41,64.52,64.52
Garut,2019,78.8,66.22,57.87,57.87
Tasikmalaya,2019,75.71,65.64,58.68,58.68
Ciamis,2019,79.34,70.39,63.94,63.94
Kuningan,2019,82.08,69.12,58.21,58.21
Cirebon,2019,79.72,68.69,56.37,56.37
Majalengka,2019,76.88,67.52,57.55,57.55
Sumedang,2019,80.45,71.46,63.57,63.57
Indramayu,2019,79.03,66.97,53.97,53.97
Subang,2019,80.2,68.69,55.31,55.31
Purwakarta,2019,78.15,70.67,60.01,60.01
Karawang,2019,79.97,70.86,59.06,59.06
Bekasi,2019,82.4,73.99,65.8,65.8
Bandung Barat,2019,80.28,68.27,60.21,60.21
Pangandaran,2019,78.65,68.21,59.07,59.07
Kota Bogor,2019,82.17,76.23,71.62,71.62
Kota Sukabumi,2019,80.4,74.31,69.32,69.32
Kota Bandung,2019,83.29,81.62,75.22,75.22
Kota Cirebon,2019,80.2,74.92,69.42,69.42
Kota Bekasi,2019,84.45,81.59,75.86,75.86
Kota Depok,2019,83.55,80.82,75.31,75.31
Kota Cimahi,2019,82.91,78.11,74.81,74.81
Kota Tasikmalaya,2019,79.89,72.84,67.77,67.77
Kota Banjar,2019,78.14,71.75,65.46,65.46
Bogor,2020,78.72,70.4,62.33,62.33
Sukabumi,2020,78.42,66.88,57.54,57.54
Cianjur,2020,77.12,65.36,57.24,57.24
Bandung,2020,82.35,72.39,65.12,65.12
Garut,2020,79.09,66.12,58.15,58.15
Tasikmalaya,2020,76.11,65.67,59.31,59.31
Ciamis,2020,79.74,70.49,64.72,64.72
Kuningan,2020,82.45,69.38,59.18,59.18
Cirebon,2020,79.98,68.75,57.09,57.09
Majalengka,2020,77.34,67.59,58.18,58.18
Sumedang,2020,80.66,71.64,64.39,64.39
Indramayu,2020,79.43,67.29,55.03,55.03
Subang,2020,80.54,68.95,56.17,56.17
Purwakarta,2020,78.45,70.82,60.61,60.61
Karawang,2020,80.23,70.66,59.48,59.48
Bekasi,2020,82.58,74.07,66.76,66.76
Bandung Barat,2020,80.52,68.08,60.27,60.27
Pangandaran,2020,79.08,68.06,59.33,59.33
Kota Bogor,2020,82.48,76.11,71.68,71.68
Kota Sukabumi,2020,80.65,74.21,69.38,69.38
Kota Bandung,2020,83.51,81.51,75.28,75.28
Kota Cirebon,2020,80.4,74.89,69.48,69.48
Kota Bekasi,2020,84.63,81.5,76.09,76.09
Kota Depok,2020,83.75,80.97,76.27,76.27
Kota Cimahi,2020,83.12,77.83,74.87,74.87
Kota Tasikmalaya,2020,80.23,73.04,68.46,68.46
Kota Banjar,2020,78.45,71.7,65.52,65.52
Bogor,2021,79.02,70.6,62.39,62.39
Sukabumi,2021,78.78,67.07,57.67,57.67
Cianjur,2021,77.42,65.56,57.3,57.3
Bandung,2021,82.65,72.73,65.51,65.51
Garut,2021,79.37,66.45,58.52,58.52
Tasikmalaya,2021,76.42,65.9,59.77,59.77
Ciamis,2021,80.03,70.93,65.78,65.78
Kuningan,2021,82.74,69.71,59.97,59.97
Cirebon,2021,80.28,69.12,57.75,57.75
Majalengka,2021,77.63,67.81,58.34,58.34
Sumedang,2021,80.95,71.8,64.46,64.46
Indramayu,2021,79.75,67.64,55.79,55.79
Subang,2021,80.89,69.13,56.23,56.23
Purwakarta,2021,78.74,70.98,60.67,60.67
Karawang,2021,80.51,70.94,59.54,59.54
Bekasi,2021,82.78,74.45,67.39,67.39
Bandung Barat,2021,80.8,68.29,60.33,60.33
Pangandaran,2021,79.38,68.28,59.72,59.72
Kota Bogor,2021,82.8,76.59,72.38,72.38
Kota Sukabumi,2021,80.89,74.6,70.42,70.42
Kota Bandung,2021,83.78,81.96,76.11,76.11
Kota Cirebon,2021,80.68,75.25,70.21,70.21
Kota Bekasi,2021,84.91,81.95,76.87,76.87
Kota Depok,2021,84.03,81.37,76.89,76.89
Kota Cimahi,2021,83.4,78.06,75.29,75.29
Kota Tasikmalaya,2021,80.52,73.31,69.12,69.12
Kota Banjar,2021,78.75,71.92,66.01,66.01
