Wilayah Jawa Barat,Tahun,Tingkat Angkatan Kerja (%),Tingkat Pengangguran (%)
Bogor,2018,62.75,9.83
Sukabumi,2018,62.71,7.84
Cianjur,2018,60.22,10.23
Bandung,2018,61.79,5.07
Garut,2018,60.06,7.12
Tasikmalaya,2018,64.07,6.92
Ciamis,2018,66.67,4.64
Kuningan,2018,58.53,9.1
Cirebon,2018,61.75,10.64
Majalengka,2018,65.64,5.0
Sumedang,2018,61.93,7.54
Indramayu,2018,64.88,8.46
Subang,2018,64.35,8.71
Purwakarta,2018,63.12,9.94
Karawang,2018,64.77,9.12
Bekasi,2018,61.43,9.74
Bandung Barat,2018,61.26,8.55
Pangandaran,2018,77.74,3.59
Kota Bogor,2018,63.11,9.74
Kota Sukabumi,2018,59.62,8.57
Kota Bandung,2018,61.86,8.05
Kota Cirebon,2018,67.89,9.07
Kota Bekasi,2018,65.23,9.14
Kota Depok,2018,62.51,6.66
Kota Cimahi,2018,64.4,8.0
Kota Tasikmalaya,2018,62.63,6.89
Kota Banjar,2018,64.93,5.95
Bogor,2019,65.41,9.11
Sukabumi,2019,62.65,8.05
Cianjur,2019,66.0,9.81
Bandung,2019,65.32,5.51
Garut,2019,62.6,7.35
Tasikmalaya,2019,66.46,6.31
Ciamis,2019,67.39,5.16
Kuningan,2019,61.2,9.68
Cirebon,2019,65.23,10.35
Majalengka,2019,67.83,4.37
Sumedang,2019,63.9,7.7
Indramayu,2019,67.69,8.35
Subang,2019,67.67,8.68
Purwakarta,2019,63.88,9.73
Karawang,2019,63.57,9.68
Bekasi,2019,64.02,9.0
Bandung Barat,2019,61.97,8.24
Pangandaran,2019,75.08,4.52
Kota Bogor,2019,63.68,9.16
Kota Sukabumi,2019,62.48,8.49
Kota Bandung,2019,65.9,8.18
Kota Cirebon,2019,62.71,9.04
Kota Bekasi,2019,65.66,8.3
Kota Depok,2019,64.96,6.12
Kota Cimahi,2019,63.26,8.09
Kota Tasikmalaya,2019,65.26,6.78
Kota Banjar,2019,67.59,6.16
Bogor,2020,62.65,14.29
Sukabumi,2020,61.56,9.6
Cianjur,2020,69.26,11.05
Bandung,2020,62.2,8.58
Garut,2020,61.11,8.96
Tasikmalaya,2020,69.54,7.12
Ciamis,2020,71.41,5.66
Kuningan,2020,61.98,11.22
Cirebon,2020,63.79,11.52
Majalengka,2020,69.66,5.84
