Wilayah Jawa Barat,Tahun,Tingkat Angkatan Kerja (%),Tingkat Pengangguran (%),Indeks Kesehatan,Indeks Pembangunan Manusia,Indeks Pendidikan,Indeks Pengeluaran,Indeks Kedalaman Kemiskinan,Indeks Keparahan Kemiskinan,Jumlah Penduduk Miskin,Value,Kategori
Bandung,2017,0.0,0.0,81.74,71.02,62.89,62.89,1.12,0.26,268.0,73.13,Usia Harapan Hidup
Bandung,2017,0.0,0.0,81.74,71.02,62.89,62.89,1.12,0.26,268.0,12.43,Harapan Lama Sekolah
Bandung,2017,0.0,0.0,81.74,71.02,62.89,62.89,1.12,0.26,268.0,8.51,Rata Rata Lama Sekolah
Bandung,2017,0.0,0.0,81.74,71.02,62.89,62.89,1.12,0.26,268.0,9854.0,Pengeluaran Per Kapita
Bandung,2018,61.79,5.07,81.94,71.75,63.71,63.71,0.87,0.2,246.1,73.26,Usia Harapan Hidup
Bandung,2018,61.79,5.07,81.94,71.75,63.71,63.71,0.87,0.2,246.1,12.64,Harapan Lama Sekolah
Bandung,2018,61.79,5.07,81.94,71.75,63.71,63.71,0.87,0.2,246.1,8.58,Rata Rata Lama Sekolah
Bandung,2018,61.79,5.07,81.94,71.75,63.71,63.71,0.87,0.2,246.1,10203.0,Pengeluaran Per Kapita
Bandung,2019,65.32,5.51,82.15,72.41,64.52,64.52,1.04,0.28,223.2,73.4,Usia Harapan Hidup
Bandung,2019,65.32,5.51,82.15,72.41,64.52,64.52,1.04,0.28,223.2,12.68,Harapan Lama Sekolah
Bandung,2019,65.32,5.51,82.15,72.41,64.52,64.52,1.04,0.28,223.2,8.79,Rata Rata Lama Sekolah
Bandung,2019,65.32,5.51,82.15,72.41,64.52,64.52,1.04,0.28,223.2,10502.0,Pengeluaran Per Kapita
Bandung,2020,62.2,8.58,82.35,72.39,65.12,65.12,0.92,0.17,263.6,73.53,Usia Harapan Hidup
Bandung,2020,62.2,8.58,82.35,72.39,65.12,65.12,0.92,0.17,263.6,12.69,Harapan Lama Sekolah
Bandung,2020,62.2,8.58,82.35,72.39,65.12,65.12,0.92,0.17,263.6,8.96,Rata Rata Lama Sekolah
Bandung,2020,62.2,8.58,82.35,72.39,65.12,65.12,0.92,0.17,263.6,10201.0,Pengeluaran Per Kapita
Bandung,2021,65.12,8.32,82.65,72.73,65.51,65.51,1.23,0.34,269.2,73.72,Usia Harapan Hidup
Bandung,2021,65.12,8.32,82.65,72.73,65.51,65.51,1.23,0.34,269.2,12.7,Harapan Lama Sekolah
Bandung,2021,65.12,8.32,82.65,72.73,65.51,65.51,1.23,0.34,269.2,9.07,Rata Rata Lama Sekolah
Bandung,2021,65.12,8.32,82.65,72.73,65.51,65.51,1.23,0.34,269.2,10307.0,Pengeluaran Per Kapita
Bandung,2022,63.64,6.98,83.09,73.16,65.57,65.57,0.9,0.21,258.6,74.01,Usia Harapan Hidup
Bandung,2022,63.64,6.98,83.09,73.16,65.57,65.57,0.9,0.21,258.6,12.71,Harapan Lama Sekolah
Bandung,2022,63.64,6.98,83.09,73.16,65.57,65.57,0.9,0.21,258.6,9.08,Rata Rata Lama Sekolah
Bandung,2022,63.64,6.98,83.09,73.16,65.57,65.57,0.9,0.21,258.6,10588.0,Pengeluaran Per Kapita
Bandung,2023,67.1,6.52,0.0,0.0,0.0,0.0,1.1,0.29,245.5,74.27,Usia Harapan Hidup
Bandung,2023,67.1,6.52,0.0,0.0,0.0,0.0,1.1,0.29,245.5,12.73,Harapan Lama Sekolah
Bandung,2023,67.1,6.52,0.0,0.0,0.0,0.0,1.1,0.29,245.5,9.1,Rata Rata Lama Sekolah
Bandung,2023,67.1,6.52,0.0,0.0,0.0,0.0,1.1,0.29,245.5,11018.0,Pengeluaran Per Kapita
Bandung Barat,2017,0.0,0.0,79.8,66.63,58.55,58.55,2.32,0.71,190.9,71.87,Usia Harapan Hidup
Bandung Barat,2017,0.0,0.0,79.8,66.63,58.55,58.55,2.32,0.71,190.9,11.79,Harapan Lama Sekolah
Bandung Barat,2017,0.0,0.0,79.8,66.63,58.55,58.55,2.32,0.71,190.9,7.74,Rata Rata Lama Sekolah
Bandung Barat,2017,0.0,0.0,79.8,66.63,58.55,58.55,2.32,0.71,190.9,8002.0,Pengeluaran Per Kapita
Bandung Barat,2018,61.26,8.55,80.05,67.46,59.43,59.43,1.45,0.35,169.0,72.03,Usia Harapan Hidup
Bandung Barat,2018,61.26,8.55,80.05,67.46,59.43,59.43,1.45,0.35,169.0,11.83,Harapan Lama Sekolah
Bandung Barat,2018,61.26,8.55,80.05,67.46,59.43,59.43,1.45,0.35,169.0,7.97,Rata Rata Lama Sekolah
Bandung Barat,2018,61.26,8.55,80.05,67.46,59.43,59.43,1.45,0.35,169.0,8329.0,Pengeluaran Per Kapita
Bandung Barat,2019,61.97,8.24,80.28,68.27,60.21,60.21,1.54,0.33,159.0,72.18,Usia Harapan Hidup
Bandung Barat,2019,61.97,8.24,80.28,68.27,60.21,60.21,1.54,0.33,159.0,11.86,Harapan Lama Sekolah
Bandung Barat,2019,61.97,8.24,80.28,68.27,60.21,60.21,1.54,0.33,159.0,8.18,Rata Rata Lama Sekolah
Bandung Barat,2019,61.97,8.24,80.28,68.27,60.21,60.21,1.54,0.33,159.0,8684.0,Pengeluaran Per Kapita
Bandung Barat,2020,59.91,12.25,80.52,68.08,60.27,60.27,1.4,0.25,179.5,72.34,Usia Harapan Hidup
Bandung Barat,2020,59.91,12.25,80.52,68.08,60.27,60.27,1.4,0.25,179.5,11.87,Harapan Lama Sekolah
